time period,train operating company name,NR on TOC External,NR on TOC Non Track Assets,NR on TOC Severe Weather,NR on TOC Track,TOC on Self Fleet,TOC on Self Operations,TOC on Self Traincrew,TOC on TOC Fleet,TOC on TOC Operations,TOC on TOC Traincrew
Apr 2024 to Mar 2025 (Period 08),East Midlands Railway,8061.5,12031.4,3631.5,1658.0,9066.0,230.5,3411.5,2285.0,862.5,2089.0
Apr 2024 to Mar 2025 (Period 09),East Midlands Railway,7805.3,17643.1,10300.0,2395.0,7796.0,49.0,2912.0,3944.2,693.8,2401.2
Apr 2024 to Mar 2025 (Period 10),East Midlands Railway,4640.9,7047.4,2389.5,2048.0,7927.5,267.5,2597.5,1749.4,719.9,1557.0
Apr 2024 to Mar 2025 (Period 11),East Midlands Railway,8543.5,13365.0,8469.0,3832.0,7914.0,213.0,2324.5,2455.0,621.1,698.5
Apr 2024 to Mar 2025 (Period 12),East Midlands Railway,8221.5,9233.1,433.0,3409.1,7184.5,232.5,1755.5,1920.5,562.0,1517.5
Apr 2024 to Mar 2025 (Period 13),East Midlands Railway,6805.4,7775.2,261.4,3275.0,7316.5,213.7,2447.0,2688.1,514.0,1163.9
Apr 2025 to Mar 2026 (Period 01),East Midlands Railway,8162.0,6871.0,514.3,1420.4,6837.8,95.4,2706.9,2291.8,487.6,1586.3
Apr 2022 to Mar 2023 (Period 01),Elizabeth line,1647.0,1743.0,470.0,923.0,1839.0,54.0,295.0,462.5,138.0,138.0
Apr 2022 to Mar 2023 (Period 02),Elizabeth line,2007.0,1003.0,619.0,285.0,1823.0,41.0,266.0,426.0,196.0,151.0
Apr 2022 to Mar 2023 (Period 03),Elizabeth line,551.0,876.0,573.0,776.0,1698.0,10.0,230.0,364.5,59.5,324.0
Apr 2022 to Mar 2023 (Period 04),Elizabeth line,915.0,2914.0,280.0,1082.0,857.0,132.0,277.5,531.0,141.0,192.5
Apr 2022 to Mar 2023 (Period 05),Elizabeth line,1529.0,3228.0,162.0,350.0,982.0,150.0,353.0,403.0,76.5,78.0
Apr 2022 to Mar 2023 (Period 06),Elizabeth line,1948.5,3954.0,711.0,1176.0,1361.0,156.0,446.5,1196.0,161.0,433.5
Apr 2022 to Mar 2023 (Period 07),Elizabeth line,574.0,2381.0,151.0,817.0,1319.0,28.0,605.8,577.5,70.0,217.0
Apr 2022 to Mar 2023 (Period 08),Elizabeth line,1773.5,1532.0,525.5,1742.0,1797.0,111.0,357.0,822.0,276.0,214.0
Apr 2022 to Mar 2023 (Period 09),Elizabeth line,2689.0,4160.0,332.0,3563.0,2838.0,2018.0,553.0,431.5,369.5,508.5
Apr 2022 to Mar 2023 (Period 10),Elizabeth line,187.5,1475.0,42.0,718.0,1059.0,536.0,158.0,194.0,17.5,90.0
Apr 2022 to Mar 2023 (Period 11),Elizabeth line,2139.0,2761.0,141.0,1595.0,1700.0,1124.0,229.0,954.5,133.0,251.5
Apr 2022 to Mar 2023 (Period 12),Elizabeth line,1312.0,2656.0,106.5,440.0,1885.0,1738.0,365.0,636.2,128.2,302.0
Apr 2022 to Mar 2023 (Period 13),Elizabeth line,2573.8,2046.7,655.5,1180.0,1227.7,608.8,381.1,1493.5,94.7,282.7
Apr 2023 to Mar 2024 (Period 01),Elizabeth line,4738.5,1775.0,444.0,528.0,1732.0,1093.0,248.0,878.0,294.0,456.5
Apr 2023 to Mar 2024 (Period 02),Elizabeth line,1028.5,4522.0,1345.0,1653.0,1029.0,1011.0,180.0,559.5,214.0,338.0
Apr 2023 to Mar 2024 (Period 03),Elizabeth line,1826.0,3971.0,787.0,394.0,2087.0,366.0,307.0,998.0,348.0,289.0
Apr 2023 to Mar 2024 (Period 04),Elizabeth line,2637.0,1941.0,148.0,435.0,721.5,1152.0,362.0,1279.5,198.5,301.5
Apr 2023 to Mar 2024 (Period 05),Elizabeth line,1729.0,8262.0,9.0,623.0,633.5,188.5,560.0,504.5,197.5,404.0
Apr 2023 to Mar 2024 (Period 06),Elizabeth line,4122.0,6007.0,43.0,777.0,1942.0,740.5,534.0,739.0,175.5,346.5
Apr 2023 to Mar 2024 (Period 07),Elizabeth line,2767.0,5434.0,277.0,1087.0,709.0,1055.0,1775.0,590.0,179.5,278.5
Apr 2023 to Mar 2024 (Period 08),Elizabeth line,3898.5,8573.1,2146.0,1711.0,2852.0,438.0,562.0,870.7,280.0,216.0
Apr 2023 to Mar 2024 (Period 09),Elizabeth line,1687.4,4166.4,1051.0,4909.0,5373.1,406.0,458.0,988.5,258.5,527.0
Apr 2023 to Mar 2024 (Period 10),Elizabeth line,1578.1,4900.5,4728.6,2118.0,2237.9,405.0,559.0,735.5,488.9,333.0
Apr 2023 to Mar 2024 (Period 11),Elizabeth line,833.0,4194.8,320.0,2560.0,3408.2,109.0,900.0,1787.5,437.1,361.5
Apr 2023 to Mar 2024 (Period 12),Elizabeth line,3122.8,2937.5,684.0,1447.0,1359.6,260.0,372.0,802.2,202.4,339.0
Apr 2023 to Mar 2024 (Period 13),Elizabeth line,2253.7,5787.7,665.9,1592.0,1039.8,235.4,520.3,1353.4,286.0,403.7
Apr 2024 to Mar 2025 (Period 01),Elizabeth line,919.0,2760.0,456.0,3418.0,960.0,97.0,556.0,1079.0,130.5,2065.0
Apr 2024 to Mar 2025 (Period 02),Elizabeth line,2596.0,2782.0,668.0,1978.0,1140.0,808.0,174.0,1269.0,211.0,409.5
Apr 2024 to Mar 2025 (Period 03),Elizabeth line,2229.0,4533.0,224.0,3648.0,1625.0,181.0,275.0,431.0,269.5,469.5
Apr 2024 to Mar 2025 (Period 04),Elizabeth line,4381.5,4670.2,30.0,2307.0,512.0,442.0,251.0,1021.8,1053.7,271.0
Apr 2024 to Mar 2025 (Period 05),Elizabeth line,2887.5,3027.0,1111.0,3115.0,868.0,219.0,438.0,1428.0,338.5,291.5
Apr 2024 to Mar 2025 (Period 06),Elizabeth line,5173.0,2787.0,49.0,1393.0,1326.0,201.0,612.0,710.0,348.5,357.5
Apr 2024 to Mar 2025 (Period 07),Elizabeth line,2376.9,2561.3,367.2,4436.0,1429.0,155.0,676.0,1683.3,493.7,811.7
Apr 2024 to Mar 2025 (Period 08),Elizabeth line,1811.0,2198.1,247.6,2515.0,949.0,89.5,346.5,1439.1,315.7,827.0
Apr 2024 to Mar 2025 (Period 09),Elizabeth line,1764.0,4051.0,1584.7,5427.0,734.0,380.0,616.0,1508.0,269.5,928.5
Apr 2024 to Mar 2025 (Period 10),Elizabeth line,1876.0,1916.0,108.5,586.0,868.5,70.0,381.0,888.0,358.5,311.0
Apr 2024 to Mar 2025 (Period 11),Elizabeth line,4627.5,5247.0,1784.0,3042.0,1212.0,257.5,907.0,684.0,295.0,454.5
Apr 2024 to Mar 2025 (Period 12),Elizabeth line,1466.0,2315.0,11.0,2744.0,1432.0,437.0,793.5,847.5,471.0,356.0
Apr 2024 to Mar 2025 (Period 13),Elizabeth line,2527.6,3601.6,194.2,1813.3,891.1,107.4,413.5,1074.9,473.4,369.5
Apr 2025 to Mar 2026 (Period 01),Elizabeth line,2057.0,2296.7,10.6,1779.0,1484.0,227.8,525.3,1454.8,578.9,421.2
Apr 2022 to Mar 2023 (Period 01),Govia Thameslink Railway,21608.5,17214.0,1547.5,22901.0,6271.0,1623.0,17642.0,1591.5,393.5,698.0
Apr 2022 to Mar 2023 (Period 02),Govia Thameslink Railway,21039.5,19617.0,2516.0,10175.0,7124.0,1549.0,17349.0,4820.0,426.5,539.0
Apr 2022 to Mar 2023 (Period 03),Govia Thameslink Railway,12319.0,14814.0,2038.5,2864.0,5160.0,1474.0,17911.0,2305.5,935.5,1080.5
Apr 2022 to Mar 2023 (Period 04),Govia Thameslink Railway,23955.3,24652.8,7793.9,12983.1,8183.1,9710.9,35678.0,3590.4,483.5,855.4
Apr 2022 to Mar 2023 (Period 05),Govia Thameslink Railway,17654.3,29171.8,11699.1,22974.7,9110.7,6350.8,26775.0,5239.0,591.0,1090.5
Apr 2022 to Mar 2023 (Period 06),Govia Thameslink Railway,16625.3,27506.3,17994.1,38930.0,5881.5,4973.0,22353.5,2987.5,705.0,1501.2
Apr 2022 to Mar 2023 (Period 07),Govia Thameslink Railway,19865.5,17547.0,3982.5,26960.0,8818.0,4336.0,20524.0,3334.5,590.0,1014.0
Apr 2022 to Mar 2023 (Period 08),Govia Thameslink Railway,17676.7,20251.7,17668.0,25226.0,10650.1,5578.0,29614.0,3601.0,669.5,1492.4
Apr 2022 to Mar 2023 (Period 09),Govia Thameslink Railway,14606.3,24327.7,17685.4,13091.0,8862.3,3968.0,20952.0,8234.0,789.0,2259.5
Apr 2022 to Mar 2023 (Period 10),Govia Thameslink Railway,6702.5,26709.5,15666.5,9304.3,7648.7,3521.8,20482.0,1495.5,617.0,503.5
Apr 2022 to Mar 2023 (Period 11),Govia Thameslink Railway,20120.0,44739.1,12291.5,11022.0,8683.9,1941.0,17310.0,4473.4,1013.5,1497.5
Apr 2022 to Mar 2023 (Period 12),Govia Thameslink Railway,19852.8,38388.7,2877.5,12130.0,11593.7,1314.0,16699.0,4428.8,998.0,1491.1
Apr 2022 to Mar 2023 (Period 13),Govia Thameslink Railway,9780.3,24570.0,6800.8,7925.4,8069.1,2020.2,12123.7,2445.8,590.2,1017.8
Apr 2023 to Mar 2024 (Period 01),Govia Thameslink Railway,14568.2,17657.2,1055.1,8126.5,5718.9,872.0,14699.0,1888.0,570.0,1003.0
Apr 2023 to Mar 2024 (Period 02),Govia Thameslink Railway,18465.0,18134.1,4896.5,3929.0,5085.3,1379.0,12568.0,2598.0,494.0,754.0
Apr 2023 to Mar 2024 (Period 03),Govia Thameslink Railway,17423.6,41419.9,3397.7,10148.8,7290.7,990.0,13255.0,2613.5,919.0,1364.0
Apr 2023 to Mar 2024 (Period 04),Govia Thameslink Railway,22370.4,21860.8,1132.0,12960.9,5759.0,1520.0,14485.7,2077.0,889.5,923.0
Apr 2023 to Mar 2024 (Period 05),Govia Thameslink Railway,15557.1,19780.8,800.5,10301.1,7374.3,1503.0,13934.0,1633.0,622.0,901.5
Apr 2023 to Mar 2024 (Period 06),Govia Thameslink Railway,29677.5,17891.2,4342.2,11901.2,9894.1,1029.0,14415.0,4551.2,532.5,1125.5
Apr 2023 to Mar 2024 (Period 07),Govia Thameslink Railway,14366.4,27734.5,1424.7,17086.1,7810.6,1541.0,16822.0,3219.0,1056.0,1306.0
Apr 2023 to Mar 2024 (Period 08),Govia Thameslink Railway,13195.7,45608.8,20256.0,16578.2,12672.7,1536.0,24394.0,2533.5,1063.5,1421.0
Apr 2023 to Mar 2024 (Period 09),Govia Thameslink Railway,16268.9,30959.9,8849.0,15290.6,8497.1,2003.2,18134.0,3048.8,686.3,1129.0
Apr 2023 to Mar 2024 (Period 10),Govia Thameslink Railway,16429.7,29418.9,16511.8,13534.8,8026.9,1515.0,20336.0,2604.1,1013.1,1236.0
Apr 2023 to Mar 2024 (Period 11),Govia Thameslink Railway,17423.9,27868.0,9261.5,13458.3,10285.4,1308.0,14561.5,4574.6,1033.5,1500.0
Apr 2023 to Mar 2024 (Period 12),Govia Thameslink Railway,20813.2,27047.7,3904.0,12718.9,8633.3,2895.1,18299.0,5077.5,1068.0,1194.7
Apr 2023 to Mar 2024 (Period 13),Govia Thameslink Railway,25284.6,25257.6,5243.7,22644.6,7020.2,2178.6,16205.8,2816.4,855.4,1103.2
Apr 2024 to Mar 2025 (Period 01),Govia Thameslink Railway,16278.2,26479.9,7980.5,5365.7,6580.6,705.0,14705.0,4736.0,284.0,1011.5
Apr 2024 to Mar 2025 (Period 02),Govia Thameslink Railway,20918.7,28890.3,4387.2,10441.9,7367.0,1591.0,14725.7,2119.5,472.5,762.5
Apr 2024 to Mar 2025 (Period 03),Govia Thameslink Railway,34621.5,30129.2,1099.3,14706.1,8358.4,694.0,19234.9,3688.0,665.5,800.5
Apr 2024 to Mar 2025 (Period 04),Govia Thameslink Railway,32377.4,30872.4,1619.8,22003.2,9850.4,1676.0,20237.0,3692.0,956.0,1655.0
Apr 2024 to Mar 2025 (Period 05),Govia Thameslink Railway,21768.0,47353.8,4463.2,14070.6,8388.1,1578.0,19136.2,2609.5,1035.5,1287.0
Apr 2024 to Mar 2025 (Period 06),Govia Thameslink Railway,21603.9,32557.0,962.2,20355.5,10815.6,1597.6,22537.4,4141.0,1031.5,1140.5
Apr 2024 to Mar 2025 (Period 07),Govia Thameslink Railway,39255.2,28486.6,4631.7,7548.8,8228.6,3246.0,27333.4,2728.0,833.0,1562.5
Apr 2024 to Mar 2025 (Period 08),Govia Thameslink Railway,16397.2,35374.2,1611.6,9436.9,8503.8,1616.0,25504.7,4056.5,911.6,1260.2
Apr 2024 to Mar 2025 (Period 09),Govia Thameslink Railway,12639.7,42534.9,19958.7,6498.0,11011.1,2760.1,29550.1,8614.5,1035.0,2130.6
Apr 2024 to Mar 2025 (Period 10),Govia Thameslink Railway,15948.6,18544.6,2082.0,6277.3,5735.5,1867.0,21179.6,4657.5,737.5,1094.3
Apr 2024 to Mar 2025 (Period 11),Govia Thameslink Railway,24453.7,37904.3,3689.4,19399.0,11522.0,1826.0,17090.3,6138.6,729.5,1328.5
Apr 2024 to Mar 2025 (Period 12),Govia Thameslink Railway,21454.3,21594.3,3684.8,23663.6,10184.0,1978.0,19162.0,2894.4,1356.0,1747.5
Apr 2024 to Mar 2025 (Period 13),Govia Thameslink Railway,29656.5,21229.6,910.5,5988.8,9189.3,1631.5,16708.2,5141.3,1209.9,1463.3
Apr 2025 to Mar 2026 (Period 01),Govia Thameslink Railway,21282.6,25085.8,660.9,7330.0,6469.3,1543.3,15174.5,2608.0,790.0,1205.2
Apr 2022 to Mar 2023 (Period 01),Grand Central,703.0,224.0,89.0,342.0,134.0,8.5,83.0,217.0,44.0,157.0
Apr 2022 to Mar 2023 (Period 02),Grand Central,692.0,612.0,[z],314.0,500.0,42.5,116.0,306.0,42.0,81.5
Apr 2022 to Mar 2023 (Period 03),Grand Central,1681.0,463.0,92.0,199.0,522.0,59.5,146.0,380.0,91.5,130.0
Apr 2022 to Mar 2023 (Period 04),Grand Central,970.0,1026.0,358.0,229.0,499.0,27.0,66.0,548.0,66.5,144.0
Apr 2022 to Mar 2023 (Period 05),Grand Central,1029.0,1280.0,637.0,336.0,902.0,118.0,262.0,692.0,21.5,321.5
Apr 2022 to Mar 2023 (Period 06),Grand Central,515.0,1108.0,76.0,601.0,713.0,33.5,160.0,351.0,72.5,254.5
Apr 2022 to Mar 2023 (Period 07),Grand Central,1011.0,481.0,87.0,384.0,309.0,15.0,141.0,403.0,93.5,248.0
Apr 2022 to Mar 2023 (Period 08),Grand Central,1606.0,539.0,466.0,328.0,150.0,93.0,68.0,682.0,123.5,323.5
Apr 2022 to Mar 2023 (Period 09),Grand Central,887.0,750.0,808.0,1244.0,347.0,145.5,230.0,374.0,169.0,176.5
Apr 2022 to Mar 2023 (Period 10),Grand Central,111.0,494.0,380.5,644.0,577.0,126.5,213.0,362.0,121.0,74.0
Apr 2022 to Mar 2023 (Period 11),Grand Central,588.0,793.0,517.0,507.0,497.0,13.0,79.5,337.0,68.0,126.0
Apr 2022 to Mar 2023 (Period 12),Grand Central,386.0,508.0,408.0,213.0,455.0,59.5,116.5,356.0,82.5,195.2
Apr 2022 to Mar 2023 (Period 13),Grand Central,462.0,593.0,592.6,274.0,430.0,47.0,24.7,494.2,107.2,172.4
Apr 2023 to Mar 2024 (Period 01),Grand Central,888.0,481.0,18.0,296.0,671.0,113.0,26.0,337.0,36.5,121.0
Apr 2023 to Mar 2024 (Period 02),Grand Central,814.0,721.0,126.0,227.0,734.0,24.0,311.0,391.0,42.5,158.0
Apr 2023 to Mar 2024 (Period 03),Grand Central,967.1,817.0,161.0,509.0,1211.0,40.2,167.0,1029.0,31.0,201.5
Apr 2023 to Mar 2024 (Period 04),Grand Central,429.5,587.0,26.0,327.0,600.0,51.0,92.0,219.5,51.0,133.5
Apr 2023 to Mar 2024 (Period 05),Grand Central,994.5,591.0,41.0,404.0,1121.0,41.5,37.0,381.0,86.5,215.0
Apr 2023 to Mar 2024 (Period 06),Grand Central,1294.0,525.7,31.0,195.0,890.0,85.0,129.0,395.2,31.0,119.0
Apr 2023 to Mar 2024 (Period 07),Grand Central,1041.0,1821.0,173.0,230.0,537.0,89.0,149.0,308.5,29.5,298.5
Apr 2023 to Mar 2024 (Period 08),Grand Central,507.0,2078.2,1169.5,309.0,772.0,18.5,190.0,330.9,123.5,308.5
Apr 2023 to Mar 2024 (Period 09),Grand Central,883.0,1854.0,751.6,651.0,740.0,27.0,74.5,443.0,28.9,240.4
Apr 2023 to Mar 2024 (Period 10),Grand Central,623.0,1466.0,2928.0,133.0,683.0,31.5,245.5,571.0,99.5,194.0
Apr 2023 to Mar 2024 (Period 11),Grand Central,1410.0,648.0,392.5,462.0,1055.0,15.0,179.5,535.0,37.3,131.4
Apr 2023 to Mar 2024 (Period 12),Grand Central,565.0,881.0,99.0,439.0,606.0,6.0,221.0,247.0,64.7,185.0
Apr 2023 to Mar 2024 (Period 13),Grand Central,1598.6,941.7,242.1,384.0,558.2,8.1,55.8,177.8,85.9,257.1
Apr 2024 to Mar 2025 (Period 01),Grand Central,629.5,600.0,125.0,621.0,439.0,[z],20.0,392.5,69.5,163.0
Apr 2024 to Mar 2025 (Period 02),Grand Central,1107.0,789.0,52.0,411.0,578.0,[z],146.5,194.0,107.0,183.5
Apr 2024 to Mar 2025 (Period 03),Grand Central,620.0,773.0,5.5,387.0,380.0,[z],220.0,601.0,70.0,244.5
Apr 2024 to Mar 2025 (Period 04),Grand Central,1316.0,1367.0,17.0,596.0,518.0,82.5,144.0,900.0,153.0,187.5
Apr 2024 to Mar 2025 (Period 05),Grand Central,2422.5,1357.5,264.0,416.0,454.5,24.5,104.0,316.5,196.4,201.5
Apr 2024 to Mar 2025 (Period 06),Grand Central,1584.0,892.0,348.0,600.0,339.0,23.5,93.0,301.0,95.5,126.0
Apr 2024 to Mar 2025 (Period 07),Grand Central,1629.0,842.0,328.0,428.0,359.0,12.0,277.5,320.0,111.0,282.6
Apr 2024 to Mar 2025 (Period 08),Grand Central,544.5,1061.0,353.0,280.0,344.0,5.5,42.0,728.0,65.0,205.0
Apr 2024 to Mar 2025 (Period 09),Grand Central,911.0,1235.3,665.5,495.0,709.5,11.0,191.0,1113.6,71.1,286.5
Apr 2024 to Mar 2025 (Period 10),Grand Central,1342.0,334.3,207.5,141.0,356.0,88.0,44.0,698.5,92.0,161.0
Apr 2024 to Mar 2025 (Period 11),Grand Central,918.0,2119.0,717.0,597.0,575.0,[z],37.0,747.0,59.0,162.0
Apr 2024 to Mar 2025 (Period 12),Grand Central,1848.6,652.0,67.0,427.0,253.0,2.5,10.0,394.0,49.5,269.5
Apr 2024 to Mar 2025 (Period 13),Grand Central,856.4,933.9,12.1,430.5,319.0,8.2,7.0,365.9,56.9,105.5
Apr 2025 to Mar 2026 (Period 01),Grand Central,1436.7,1464.8,76.2,324.0,482.5,47.3,92.8,515.4,59.0,251.2
Apr 2022 to Mar 2023 (Period 01),Great Western Railway,19559.5,13971.4,1073.5,10005.0,9960.0,322.0,4897.5,3594.5,776.5,1268.0
Apr 2022 to Mar 2023 (Period 02),Great Western Railway,15441.0,10497.0,1264.0,9146.0,9925.5,688.5,4076.0,2635.5,1061.1,1178.0
Apr 2022 to Mar 2023 (Period 03),Great Western Railway,11453.0,15178.4,8338.0,12808.0,9912.5,720.0,7174.0,3027.0,746.9,1118.0
Apr 2022 to Mar 2023 (Period 04),Great Western Railway,19842.3,19982.6,20727.3,20592.4,13496.0,1453.5,10358.4,3926.5,1378.9,2054.5
Apr 2022 to Mar 2023 (Period 05),Great Western Railway,12930.0,19349.6,10316.0,16644.0,16706.0,913.0,5591.0,5803.0,605.8,1883.5
Apr 2022 to Mar 2023 (Period 06),Great Western Railway,20941.5,16997.9,5848.5,13557.0,11664.0,982.0,6557.0,4521.5,897.7,2265.5
Apr 2022 to Mar 2023 (Period 07),Great Western Railway,12725.0,31913.0,3534.0,10277.0,9911.0,482.5,4213.5,2895.0,765.3,1359.5
Apr 2022 to Mar 2023 (Period 08),Great Western Railway,17200.0,19821.7,12027.1,10596.0,13894.0,3241.0,6143.0,4459.1,1200.8,2024.6
Apr 2022 to Mar 2023 (Period 09),Great Western Railway,9978.9,34737.4,7167.0,12905.8,15578.5,1306.0,6701.0,7203.1,1684.0,2962.0
Apr 2022 to Mar 2023 (Period 10),Great Western Railway,3591.0,16319.1,9378.0,3524.0,11023.0,1032.0,7416.0,1801.9,907.7,1083.0
Apr 2022 to Mar 2023 (Period 11),Great Western Railway,16962.0,21379.1,19813.5,17390.0,13704.5,948.0,3013.0,2850.0,1169.2,2162.3
Apr 2022 to Mar 2023 (Period 12),Great Western Railway,18366.1,13527.7,7442.3,11761.0,12134.0,1504.5,3638.0,4807.1,1530.7,2137.8
Apr 2022 to Mar 2023 (Period 13),Great Western Railway,17401.3,16122.0,12025.5,11785.3,17611.4,949.9,3990.0,3593.7,938.8,2004.0
Apr 2023 to Mar 2024 (Period 01),Great Western Railway,17867.0,21574.0,17536.0,9860.0,9709.5,3191.0,4877.0,4025.5,1078.5,2260.5
Apr 2023 to Mar 2024 (Period 02),Great Western Railway,26037.0,25713.5,6891.0,8230.0,10851.5,1693.0,5398.0,5003.5,831.5,1106.5
Apr 2023 to Mar 2024 (Period 03),Great Western Railway,11753.5,26595.0,15936.0,5713.0,21322.5,4492.5,6546.5,7029.5,1020.0,1893.2
Apr 2023 to Mar 2024 (Period 04),Great Western Railway,17962.7,24290.1,6270.0,10542.0,17173.0,2951.5,9308.5,4422.3,1537.5,2754.0
Apr 2023 to Mar 2024 (Period 05),Great Western Railway,14236.1,34723.3,8988.7,6385.0,20485.5,5192.5,14471.9,5348.0,1037.0,2493.0
Apr 2023 to Mar 2024 (Period 06),Great Western Railway,21925.2,35031.3,8492.7,7468.2,15887.9,4871.0,8049.5,6701.4,971.0,2081.0
Apr 2023 to Mar 2024 (Period 07),Great Western Railway,16864.0,19617.1,10222.2,7025.0,14010.7,3527.5,8820.0,4793.8,1560.5,2095.0
Apr 2023 to Mar 2024 (Period 08),Great Western Railway,16015.5,34881.6,22108.4,7021.1,19629.5,1741.9,9016.0,5038.9,1929.5,2954.0
Apr 2023 to Mar 2024 (Period 09),Great Western Railway,9828.3,31508.8,19146.3,31581.2,18124.3,2057.0,14071.8,8965.1,1930.5,3602.5
Apr 2023 to Mar 2024 (Period 10),Great Western Railway,19804.4,33923.9,34302.9,15845.2,11878.8,4829.6,8603.8,4393.8,606.9,3021.5
Apr 2023 to Mar 2024 (Period 11),Great Western Railway,14247.6,34604.6,7592.2,16520.1,15515.7,7821.2,6042.7,7481.1,1101.0,2132.0
Apr 2023 to Mar 2024 (Period 12),Great Western Railway,14122.4,16725.4,29284.4,12341.7,15386.0,1214.4,5333.3,3964.2,825.3,1601.5
Apr 2023 to Mar 2024 (Period 13),Great Western Railway,22135.6,39115.1,18183.0,7528.3,16763.0,5543.3,6578.0,8565.5,1202.7,1947.8
Apr 2024 to Mar 2025 (Period 01),Great Western Railway,12162.8,18952.3,3526.3,6481.1,15488.5,667.4,6415.0,3806.0,888.0,3449.0
Apr 2024 to Mar 2025 (Period 02),Great Western Railway,15775.6,25574.8,7235.2,10323.2,14261.5,1445.4,6874.9,5036.0,690.5,1499.0
Apr 2024 to Mar 2025 (Period 03),Great Western Railway,19620.3,19263.7,4575.4,6133.1,14459.3,3426.0,6839.5,3823.0,831.5,2110.0
Apr 2024 to Mar 2025 (Period 04),Great Western Railway,25917.8,31876.0,3505.1,13038.8,16209.5,5897.4,7508.5,6539.0,595.5,2284.0
Apr 2024 to Mar 2025 (Period 05),Great Western Railway,16661.1,22740.4,5803.8,15568.0,15536.5,6823.0,8894.0,4326.0,887.0,2221.0
Apr 2024 to Mar 2025 (Period 06),Great Western Railway,23231.9,25358.3,5212.0,10491.0,12943.8,6520.5,7809.0,4965.0,1670.5,2337.5
Apr 2024 to Mar 2025 (Period 07),Great Western Railway,32887.2,19951.3,15795.6,8894.4,17879.3,3604.9,9564.4,4566.8,851.0,2030.5
Apr 2024 to Mar 2025 (Period 08),Great Western Railway,15080.6,27829.5,8852.3,10903.1,16228.7,3321.0,12169.7,6591.5,1323.3,3126.5
Apr 2024 to Mar 2025 (Period 09),Great Western Railway,13687.5,32172.6,31969.1,9483.2,16451.0,2736.3,11868.0,6585.7,1430.2,3730.5
Apr 2024 to Mar 2025 (Period 10),Great Western Railway,8865.5,20067.6,8946.1,4391.0,11560.5,5791.0,10675.0,3811.8,654.3,1924.8
Apr 2024 to Mar 2025 (Period 11),Great Western Railway,18745.1,22826.0,19374.5,3928.0,12618.0,461.0,6680.0,4277.9,716.4,2076.5
Apr 2024 to Mar 2025 (Period 12),Great Western Railway,15162.8,15434.8,2194.2,9895.5,14099.8,522.0,5458.3,5264.0,935.0,1590.0
Apr 2024 to Mar 2025 (Period 13),Great Western Railway,17078.9,25779.8,320.5,9586.0,13698.8,1362.4,7922.7,3173.1,1550.3,1998.0
Apr 2025 to Mar 2026 (Period 01),Great Western Railway,13798.2,25156.2,325.3,6668.7,14526.5,1039.9,5717.5,3920.6,914.4,1510.7
Apr 2022 to Mar 2023 (Period 01),Greater Anglia,3145.0,2844.0,1294.0,3410.0,3002.5,159.5,477.0,466.0,300.5,394.5
Apr 2022 to Mar 2023 (Period 02),Greater Anglia,3684.0,2373.0,964.0,5164.0,3452.5,126.5,451.0,490.5,357.5,178.5
Apr 2022 to Mar 2023 (Period 03),Greater Anglia,6876.0,7723.0,1524.0,7260.0,2454.5,210.5,687.5,1265.0,286.5,408.0
Apr 2022 to Mar 2023 (Period 04),Greater Anglia,5901.0,7917.0,4179.0,6394.0,3171.5,113.5,883.0,647.0,451.0,771.0
Apr 2022 to Mar 2023 (Period 05),Greater Anglia,6508.0,5839.0,4843.0,17528.0,3536.0,152.0,600.5,1356.5,466.5,685.0
Apr 2022 to Mar 2023 (Period 06),Greater Anglia,3557.0,5908.0,21978.0,15362.0,3282.0,135.0,882.0,569.0,386.5,822.0
Apr 2022 to Mar 2023 (Period 07),Greater Anglia,3730.3,4018.9,12632.3,9058.0,3135.5,1241.8,680.5,611.0,384.5,649.5
Apr 2022 to Mar 2023 (Period 08),Greater Anglia,6407.0,6417.0,5881.0,8613.0,2049.0,161.5,946.5,1601.0,704.5,734.0
Apr 2022 to Mar 2023 (Period 09),Greater Anglia,4635.9,6244.0,5224.0,6592.0,4289.0,2047.0,1234.5,1545.0,840.5,1153.0
Apr 2022 to Mar 2023 (Period 10),Greater Anglia,1657.1,5898.0,5212.2,2838.0,3816.0,303.9,269.5,606.0,652.0,742.0
Apr 2022 to Mar 2023 (Period 11),Greater Anglia,5298.9,5345.1,4169.8,4039.0,4073.0,410.4,584.0,1593.0,596.0,452.5
Apr 2022 to Mar 2023 (Period 12),Greater Anglia,2875.5,4926.4,1936.7,3712.0,3093.5,154.0,684.0,857.9,615.5,502.5
Apr 2022 to Mar 2023 (Period 13),Greater Anglia,4025.5,4879.2,2793.1,1892.2,2758.0,261.2,613.9,760.5,459.1,233.3
Apr 2023 to Mar 2024 (Period 01),Greater Anglia,6048.0,4000.0,1049.0,2361.0,2161.0,183.0,531.0,1156.0,473.0,332.5
Apr 2023 to Mar 2024 (Period 02),Greater Anglia,4395.0,2966.0,2225.0,3620.0,1892.5,121.5,643.0,488.5,305.5,339.0
Apr 2023 to Mar 2024 (Period 03),Greater Anglia,6125.0,7038.0,970.0,4602.0,2899.0,143.5,1147.0,2042.5,282.0,589.5
Apr 2023 to Mar 2024 (Period 04),Greater Anglia,7035.0,2844.0,632.0,4639.0,2916.0,115.5,664.5,1910.0,352.0,432.5
